@relation 'TDR.weka-weka.filters.unsupervised.attribute.Remove-R1-4,7-27'

@attribute pt.diff.RS numeric
@attribute fgm.RS numeric
@attribute region.TS {Y,Z,W,X}
@attribute seed.num.TS numeric
@attribute champ.TS {L,W}

@data
6.971429,24.914286,Z,7,L
8.666667,24.066667,Y,13,L
15.382353,25.323529,W,1,L
14.59375,23.78125,W,2,L
7.09375,25.40625,Y,5,L
12.806452,24.16129,Y,7,L
15.764706,25.294118,Z,1,L
5.8125,23.15625,Z,12,L
4.5,21.0625,W,12,L
5.911765,26.029412,Z,6,L
12.212121,28.060606,Y,6,L
9.935484,25.032258,X,12,L
-2.363636,25.575758,Y,16,L
6.6875,26.8125,Z,5,L
0.666667,25.818182,Y,14,L
9.419355,28,X,9,L
8.090909,26.272727,Y,4,L
7.6875,25.09375,W,12,L
10.3125,25.71875,Z,9,L
4.75,25.15625,Y,8,L
10.323529,26.470588,Y,9,L
8.482759,25.896552,Z,15,L
7.375,25.5625,X,7,L
9.393939,27.424242,Z,4,L
-1.677419,27.677419,W,16,L
2.724138,28.206897,W,16,L
3.46875,26.125,X,14,L
12.75,28,X,11,L
0.9,25.733333,X,16,L
10.8,25.933333,Y,13,L
-4.333333,22.333333,Z,16,L
13.375,29.1875,W,5,L
5.9375,27.75,X,13,L
9.387097,27.580645,Y,7,L
6.875,31.1875,X,4,L
12.69697,28.151515,Y,1,L
11.411765,28.558824,W,4,L
9.125,26.5,Y,5,L
8.8125,26.15625,Y,3,L
6.242424,26.393939,W,11,L
16.382353,28.794118,X,2,L
4.096774,25.903226,X,15,L
12.705882,30.794118,W,1,L
4.636364,23.363636,Z,11,L
5.125,27.15625,W,6,L
9.96875,27.625,Z,2,L
9.151515,27.30303,Z,1,L
1.433333,25.3,Z,7,L
7.064516,26.677419,W,10,L
4.242424,25.242424,W,9,L
13.147059,27.470588,X,5,L
7.032258,25.516129,Y,12,L
7.060606,26.424242,X,6,L
15.285714,28.428571,W,14,L
1.870968,25.16129,Z,16,L
7.676471,27.235294,Z,8,L
10.266667,28.1,W,13,L
4.5,23.9375,X,10,L
1.21875,24.75,Y,10,L
3.28125,24.65625,Z,6,L
10.382353,26.647059,Z,3,L
2.548387,24.516129,X,8,L
4.322581,25.677419,W,11,L
5.451613,25.903226,Y,15,L
6.366667,27.833333,Z,13,L
6.090909,28.909091,W,8,L
7.484848,26.848485,X,3,L
9.911765,28.029412,Z,10,L
9.40625,26.28125,Y,11,L
13.264706,26.617647,Y,2,W
10.69697,25.727273,X,1,L
6.064516,24.935484,W,15,L
12.588235,27.264706,W,3,L
2.69697,29,Z,14,L
13.709677,25.064516,Y,11,L
4.3125,23.46875,W,7,L
10.3125,27.375,W,2,L
10.962963,26.185185,Z,12,L
